From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
NUDT4_ARATH	Q9LE73	NUDT4_ARATH	Nudix hydrolase 4 (AtNUDT4) (EC 3.6.1.-) (ADP-ribose pyrophosphatase) (EC 3.6.1.13) (NADH pyrophosphatase) (EC 3.6.1.22)	NUDT4 NUDX4 At1g18300 F15H18.18	Arabidopsis thaliana (Mouse-ear cress)	207	FUNCTION: Probably mediates the hydrolysis of some nucleoside diphosphate derivatives. In vitro, it can use both NADH and ADP-ribose as substrates; however the relevance of such substrates in vivo is unclear. {ECO:0000269|PubMed:15878881}.			TISSUE SPECIFICITY: Expressed in roots, stems and leaves. {ECO:0000269|PubMed:15878881}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]; NAD+ diphosphatase activity [GO:0000210]; NADH pyrophosphatase activity [GO:0035529]; cellular response to hypoxia [GO:0071456]	GO:0000210; GO:0005634; GO:0005737; GO:0005829; GO:0035529; GO:0046872; GO:0047631; GO:0071456
FAD6C_BRANA	P48627	FAD6C_BRANA	Omega-6 fatty acid desaturase, chloroplastic (EC 1.14.19.23)		Brassica napus (Rape)	443	FUNCTION: Chloroplast omega-6 fatty acid desaturase introduces the second double bond in the biosynthesis of 16:3 and 18:3 fatty acids, important constituents of plant membranes. It is thought to use ferredoxin as an electron donor and to act on fatty acids esterified to galactolipids, sulfolipids and phosphatidylglycerol. {ECO:0000269|PubMed:8066133}.	PATHWAY: Lipid metabolism; polyunsaturated fatty acid biosynthesis.			chloroplast membrane [GO:0031969]; 1-18:1-2-16:0-digalactosyldiacylglycerol desaturase activity [GO:0102873]; 1-18:1-2-16:0-monogalactosyldiacylglycerol acyl-lipid omega-6 desaturase activity [GO:0102834]; 1-18:1-2-16:0-phosphatidylglycerol omega-6 desaturase activity [GO:0102850]; 1-18:1-2-16:1-monogalactosyldiacylglyceroldesaturase activity [GO:0102836]; 1-18:1-2-16:2-monogalactosyldiacylglycerol desaturase activity [GO:0102838]; 1-18:1-2-16:2-monogalactosyldiacylglycerol synthase activity [GO:0102841]; 1-18:1-2-trans-16:1-phosphatidylglycerol desaturase activity [GO:0102655]; 1-18:2-2-16:1-monogalactosyldiacylglycerol desaturase activity (SN2-16:2 forming) [GO:0102844]; unsaturated fatty acid biosynthetic process [GO:0006636]	GO:0006636; GO:0031969; GO:0102655; GO:0102834; GO:0102836; GO:0102838; GO:0102841; GO:0102844; GO:0102850; GO:0102873
FAD6C_SOYBN	P48628	FAD6C_SOYBN	Omega-6 fatty acid desaturase, chloroplastic (EC 1.14.19.23)		Glycine max (Soybean) (Glycine hispida)	424	FUNCTION: Chloroplast omega-6 fatty acid desaturase introduces the second double bond in the biosynthesis of 16:3 and 18:3 fatty acids, important constituents of plant membranes. It is thought to use ferredoxin as an electron donor and to act on fatty acids esterified to galactolipids, sulfolipids and phosphatidylglycerol. {ECO:0000250|UniProtKB:P48627}.	PATHWAY: Lipid metabolism; polyunsaturated fatty acid biosynthesis.			chloroplast membrane [GO:0031969]; 1-18:1-2-16:0-digalactosyldiacylglycerol desaturase activity [GO:0102873]; 1-18:1-2-16:0-monogalactosyldiacylglycerol acyl-lipid omega-6 desaturase activity [GO:0102834]; 1-18:1-2-16:0-phosphatidylglycerol omega-6 desaturase activity [GO:0102850]; 1-18:1-2-16:1-monogalactosyldiacylglyceroldesaturase activity [GO:0102836]; 1-18:1-2-16:2-monogalactosyldiacylglycerol desaturase activity [GO:0102838]; 1-18:1-2-16:2-monogalactosyldiacylglycerol synthase activity [GO:0102841]; 1-18:1-2-trans-16:1-phosphatidylglycerol desaturase activity [GO:0102655]; 1-18:2-2-16:1-monogalactosyldiacylglycerol desaturase activity (SN2-16:2 forming) [GO:0102844]; unsaturated fatty acid biosynthetic process [GO:0006636]	GO:0006636; GO:0031969; GO:0102655; GO:0102834; GO:0102836; GO:0102838; GO:0102841; GO:0102844; GO:0102850; GO:0102873
RLF19_ARATH	Q6NME6	RLF19_ARATH	Protein RALF-like 19	RALFL19 At2g33775 T1B8	Arabidopsis thaliana (Mouse-ear cress)	110	FUNCTION: Cell signaling peptide that may regulate plant stress, growth, and development. Mediates a rapid alkalinization of extracellular space by mediating a transient increase in the cytoplasmic Ca(2+) concentration leading to a calcium-dependent signaling events through a cell surface receptor and a concomitant activation of some intracellular mitogen-activated protein kinases (By similarity). {ECO:0000250}.				apoplast [GO:0048046]; pollen tube [GO:0090406]; hormone activity [GO:0005179]; calcium-mediated signaling [GO:0019722]; cell-cell signaling [GO:0007267]; regulation of pollen tube growth [GO:0080092]	GO:0005179; GO:0007267; GO:0019722; GO:0048046; GO:0080092; GO:0090406
SUT3_STYHA	P53393	SUT3_STYHA	Low affinity sulfate transporter 3	ST3	Stylosanthes hamata (Caribbean stylo)	644	FUNCTION: Low-affinity H(+)/sulfate cotransporter which may be involved in the internal transport of sulfate between cellular or subcellular compartments within the plant.				membrane [GO:0016020]; secondary active sulfate transmembrane transporter activity [GO:0008271]	GO:0008271; GO:0016020
WLIM1_ARATH	Q94JX5	WLIM1_ARATH	LIM domain-containing protein WLIM1 (Widely-expressed LIM protein 1) (AtWLIM1)	WLIM1 At1g10200 F14N23.8	Arabidopsis thaliana (Mouse-ear cress)	190	FUNCTION: Binds to actin filaments and promotes cross-linking into thick bundles. Has an actin-stabilizing activity. The actin regulatory activities are not regulated by pH and [Ca(2+)]. {ECO:0000269|PubMed:20817848}.			TISSUE SPECIFICITY: Expressed in roots, leaves, stems, flowers and siliques. Not detected in pollen. {ECO:0000269|PubMed:11085265, ECO:0000269|PubMed:20817848}.	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; actin filament binding [GO:0051015]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; actin filament bundle assembly [GO:0051017]	GO:0003729; GO:0005737; GO:0005856; GO:0005886; GO:0046872; GO:0051015; GO:0051017
HIP39_ARATH	O03982	HIP39_ARATH	Heavy metal-associated isoprenylated plant protein 39 (AtHIP39)	HIPP39 At1g01490 F22L4.5	Arabidopsis thaliana (Mouse-ear cress)	177	FUNCTION: Probable heavy-metal-binding protein. {ECO:0000250|UniProtKB:Q9LZF1}.				metal ion binding [GO:0046872]	GO:0046872
COL11_ARATH	O23379	COL11_ARATH	Putative zinc finger protein CONSTANS-LIKE 11	COL11 At4g15250 dl3670c	Arabidopsis thaliana (Mouse-ear cress)	330					nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]	GO:0003700; GO:0005634; GO:0008270
BCH2_CAPAN	O49814	BCH2_CAPAN	Beta-carotene hydroxylase 2, chloroplastic (EC 1.14.15.24)	CA2 LOC107873401 T459_16578	Capsicum annuum (Capsicum pepper)	308	FUNCTION: Nonheme diiron monooxygenase involved in the biosynthesis of xanthophylls. Specific for beta-ring hydroxylations of beta-carotene. Produces beta-cryptoxanthin and zeaxanthin. Uses ferredoxin as an electron donor. {ECO:0000269|PubMed:9555077}.				chloroplast membrane [GO:0031969]; beta-carotene 3-hydroxylase activity [GO:0052611]; beta-cryptoxanthin hydroxylase activity [GO:0052610]; hydrolase activity [GO:0016787]; iron ion binding [GO:0005506]; carotenoid biosynthetic process [GO:0016117]	GO:0005506; GO:0016117; GO:0016787; GO:0031969; GO:0052610; GO:0052611
GAT22_ARATH	Q9SZI6	GAT22_ARATH	Putative GATA transcription factor 22 (Protein CYTOKININ-RESPONSIVE GATA FACTOR 1) (Protein GNC-LIKE) (AtGNL)	GATA22 CGA1 GNL At4g26150 F20B18.260	Arabidopsis thaliana (Mouse-ear cress)	352	FUNCTION: Transcriptional regulator that specifically binds 5'-GATA-3' or 5'-GAT-3' motifs within gene promoters (PubMed:22102866, PubMed:25077795). Involved in the modulation of chloroplast development, growth and division in a cytokinin-dependent manner (PubMed:22102866, PubMed:22811435). Repressor of the gibberellic acid (GA) signaling pathway that regulates flowering and modulates greening, in a SOC1-dependent manner (PubMed:20844019, PubMed:23739688, PubMed:25077795). Prevents the accumulation of SOC1 during flowering (PubMed:23739688). Promotes chlorophyll biosynthesis throughout the plant, by regulating chlorophyll biosynthetic genes (e.g. HEMA1 and GUN4) and chloroplast localized glutamate synthase (e.g. GLU1) (PubMed:18417639, PubMed:20844019, PubMed:21453984, PubMed:22102866, PubMed:23878229, PubMed:25077795). Involved in the regulation of sugar-sensing genes (e.g. HXK1, HXK2, STP13 and PLT6) (PubMed:18417639). Regulator of germination, senescence, elongation growth and flowering time (PubMed:20844019, PubMed:22102866, PubMed:23878229). Influences also leaf starch content (PubMed:22102866). {ECO:0000269|PubMed:18417639, ECO:0000269|PubMed:20844019, ECO:0000269|PubMed:21453984, ECO:0000269|PubMed:22102866, ECO:0000269|PubMed:22811435, ECO:0000269|PubMed:23739688, ECO:0000269|PubMed:23878229, ECO:0000269|PubMed:25077795}.		DEVELOPMENTAL STAGE: First observed in the inflorescence meristem (IM) and young flower buds (PubMed:23335616). Detected throughout the floral bud. In young flowers, restricted to the inner whorls, specifically the petals, stamens, and carpels (PubMed:18417639, PubMed:23335616). In older flowers, accumulates more in the stamens than in the petals and carpels (PubMed:18417639). Observed in anther locules, vascular strands, and ovules (PubMed:23335616). During imbibition, expressed in the endosperm, especially at the time of testa rupture. Later restricted to the cotyledons (PubMed:20844019). In mature embryos, restricted to the cotyledons. In young seedlings, mostly expressed in shoot tissues, including the tip, circumference, and vasculature of the cotyledons, the emerging leaves, the meristematic region, and the basal part of the hypocotyl, and, at low levels, in the primary roots. In older seedlings, accumulates in the green shoot tissues (PubMed:22811435). {ECO:0000269|PubMed:18417639, ECO:0000269|PubMed:20844019, ECO:0000269|PubMed:22811435, ECO:0000269|PubMed:23335616}.	TISSUE SPECIFICITY: Expressed predominantly in leaves, and barely in stems, flowers and siliques. {ECO:0000269|PubMed:17208962, ECO:0000269|PubMed:17587690, ECO:0000269|PubMed:18417639, ECO:0000269|PubMed:22811435}.	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]; chloroplast elongation [GO:0010151]; chloroplast organization [GO:0009658]; circadian rhythm [GO:0007623]; cytokinin-activated signaling pathway [GO:0009736]; gibberellic acid mediated signaling pathway [GO:0009740]; negative regulation of flower development [GO:0009910]; negative regulation of gibberellic acid mediated signaling pathway [GO:0009938]; negative regulation of seed germination [GO:0010187]; plant organ senescence [GO:0090693]; positive regulation of chlorophyll biosynthetic process [GO:1902326]; regulation of carbohydrate utilization [GO:0043610]; regulation of chlorophyll biosynthetic process [GO:0010380]; regulation of gene expression [GO:0010468]; regulation of photoperiodism, flowering [GO:2000028]; regulation of seed development [GO:0080050]; regulation of seed germination [GO:0010029]; response to auxin [GO:0009733]; response to cytokinin [GO:0009735]; response to gibberellin [GO:0009739]; response to light stimulus [GO:0009416]; response to nitrate [GO:0010167]; response to red light [GO:0010114]	GO:0000976; GO:0003700; GO:0005634; GO:0007623; GO:0008270; GO:0009416; GO:0009658; GO:0009733; GO:0009735; GO:0009736; GO:0009739; GO:0009740; GO:0009910; GO:0009938; GO:0010029; GO:0010114; GO:0010151; GO:0010167; GO:0010187; GO:0010380; GO:0010468; GO:0043610; GO:0080050; GO:0090693; GO:1902326; GO:2000028
PYR1_ARATH	O49686	PYR1_ARATH	Abscisic acid receptor PYR1 (ABI1-binding protein 6) (Protein PYRABACTIN RESISTANCE 1) (Regulatory components of ABA receptor 11)	PYR1 ABIP6 RCAR11 At4g17870 T6K21.50	Arabidopsis thaliana (Mouse-ear cress)	191	FUNCTION: Receptor for abscisic acid (ABA) required for ABA-mediated responses such as stomatal closure and germination inhibition. Inhibits the activity of group-A protein phosphatases type 2C (PP2Cs) when activated by ABA (PubMed:19407142, PubMed:19624469, PubMed:19769575, PubMed:23844015, PubMed:21658606). Can be activated by both (-)-ABA and (+)-ABA (PubMed:23844015). Promotes drought tolerance (PubMed:29970817). {ECO:0000269|PubMed:19407142, ECO:0000269|PubMed:19624469, ECO:0000269|PubMed:19769575, ECO:0000269|PubMed:21658606, ECO:0000269|PubMed:23844015, ECO:0000269|PubMed:29970817}.				cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plant-type vacuole membrane [GO:0009705]; plasma membrane [GO:0005886]; protein phosphatase inhibitor complex [GO:0062049]; abscisic acid binding [GO:0010427]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein phosphatase inhibitor activity [GO:0004864]; signaling receptor activity [GO:0038023]; ubiquitin-like protein ligase binding [GO:0044389]; abscisic acid-activated signaling pathway [GO:0009738]; positive regulation of response to water deprivation [GO:1902584]; regulation of protein serine/threonine phosphatase activity [GO:0080163]	GO:0004864; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0009705; GO:0009738; GO:0010427; GO:0038023; GO:0042802; GO:0042803; GO:0044389; GO:0062049; GO:0080163; GO:1902584
ERD14_ARATH	P42763	ERD14_ARATH	Dehydrin ERD14	ERD14 At1g76180 T23E18.12 T23E18_36	Arabidopsis thaliana (Mouse-ear cress)	185	FUNCTION: Intrinsically disordered protein acting as a chaperone. Prevents heat-induced aggregation and/or inactivation of various substrates. Binds to acidic phospholipid vesicles without affecting membrane fluidity. {ECO:0000269|PubMed:18359842}.			TISSUE SPECIFICITY: In stems, cauline leaves, roots and flowers. Low levels found in maturing seeds. Absent in dry seeds.	chloroplast [GO:0009507]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; lipid binding [GO:0008289]; mRNA binding [GO:0003729]; phosphatidylcholine binding [GO:0031210]; phosphatidylserine binding [GO:0001786]; protein folding chaperone [GO:0044183]; localization [GO:0051179]; protein stabilization [GO:0050821]; regulation of membrane permeability [GO:0090559]; response to abscisic acid [GO:0009737]; response to cold [GO:0009409]; response to desiccation [GO:0009269]	GO:0001786; GO:0003729; GO:0005509; GO:0005739; GO:0005829; GO:0005886; GO:0008289; GO:0009269; GO:0009409; GO:0009507; GO:0009737; GO:0016020; GO:0019898; GO:0031210; GO:0044183; GO:0050821; GO:0051179; GO:0090559
APS2_ARATH	Q43870	APS2_ARATH	ATP sulfurylase 2 (EC 2.7.7.4)	APS2 ASA1 MET3-1 At1g19920 F6F9.2	Arabidopsis thaliana (Mouse-ear cress)	476		PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 1/3.		TISSUE SPECIFICITY: Mostly expressed in leaves or cotyledons. {ECO:0000269|PubMed:8647819}.	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; nucleus [GO:0005634]; adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; cellular response to sulfate starvation [GO:0009970]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation [GO:0000103]	GO:0000103; GO:0004020; GO:0004781; GO:0005524; GO:0005634; GO:0009507; GO:0009570; GO:0009970; GO:0070814
GPX5_ARATH	Q9LYB4	GPX5_ARATH	Probable glutathione peroxidase 5 (EC 1.11.1.9)	GPX5 At3g63080 T20O10_180	Arabidopsis thaliana (Mouse-ear cress)	173	FUNCTION: May constitute a glutathione peroxidase-like protective system against oxidative stresses. {ECO:0000250}.			TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:14617062}.	cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; glutathione peroxidase activity [GO:0004602]; peroxidase activity [GO:0004601]; embryo development ending in seed dormancy [GO:0009793]; response to oxidative stress [GO:0006979]	GO:0004601; GO:0004602; GO:0005783; GO:0005829; GO:0005886; GO:0006979; GO:0009793; GO:0012505
P2B15_ARATH	O80494	P2B15_ARATH	F-box protein PP2-B15 (Protein PHLOEM PROTEIN 2-LIKE B15) (AtPP2-B15)	PP2B15 At1g09155 T12M4.17	Arabidopsis thaliana (Mouse-ear cress)	289					carbohydrate binding [GO:0030246]	GO:0030246
H1_SOLLC	P37218	H1_SOLLC	Histone H1		Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	287	FUNCTION: Histones H1 are necessary for the condensation of nucleosome chains into higher-order structures.				nucleosome [GO:0000786]; nucleus [GO:0005634]; double-stranded DNA binding [GO:0003690]; nucleosomal DNA binding [GO:0031492]; structural constituent of chromatin [GO:0030527]; chromosome condensation [GO:0030261]; negative regulation of DNA recombination [GO:0045910]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003690; GO:0005634; GO:0006334; GO:0030261; GO:0030527; GO:0031492; GO:0045910
YAB2_ARATH	Q9XFB0	YAB2_ARATH	Putative axial regulator YABBY 2	YAB2 At1g08465 T27G7.15	Arabidopsis thaliana (Mouse-ear cress)	184	FUNCTION: Involved in the abaxial cell fate determination during embryogenesis and organogenesis. {ECO:0000250}.		DEVELOPMENTAL STAGE: Expressed in subepidermal cells of anlagen regions, then in abaxial part of primordia and finally in differentiating organs. Levels decrease in differentiated organs. In embryo, expressed from the heart stage in the abaxial domain of the cotyledon primordia and decrease as the embryo matures. In stamen, expression restricted to the abaxial region differentiating into the connective. In gynoecium, expressed in the abaxial cell layers differentiating into the valves. {ECO:0000269|PubMed:10457020}.	TISSUE SPECIFICITY: Expressed at low levels in abaxial regions of lateral aerial organ primordia leading to cotyledons, leaves, flower meristems, sepals, petals, stamen and carpels, but not in roots. {ECO:0000269|PubMed:10457020}.	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; transcription cis-regulatory region binding [GO:0000976]; abaxial cell fate specification [GO:0010158]; cell fate commitment [GO:0045165]	GO:0000976; GO:0003700; GO:0005634; GO:0010158; GO:0045165; GO:0046872
